読み,よみ,reading
節,ふし,joint; knuckle / tune; melody / knot (in wood); node in a bamboo stem / part; notable characteristic
説,せつ,theory; doctrine / opinion; view / rumour; rumor; gossip; hearsay
まず,先ず,first (of all); to start with; about; almost; anyway; well; now / hardly (with neg. verb)
占める,しめる,to occupy; to hold / to account for; to make up; to take up
全く,まったく,really; truly; entirely; completely; wholly; perfectly / indeed / good grief (expression of exasperation)
そのまま,其の儘,without change; as it is; as it was / just like; extremely similar / immediately; just after; without a pause
それでも,其れでも,but (still); and yet; nevertheless; even so; notwithstanding
そこで,其処で,so; accordingly; now; then; thereupon; therefore
ぶつ,打つ,to hit (a person); to strike; to beat / to deliver (a speech); to give (an address)
対,つい,"pair; couple; set / antithesis / counter for items that come in pairs / counter for sets (of clothes, small furniture, utensils, etc.)"
帯,おび,"obi; kimono sash / paper wrapper on books, CDs, etc."
怠ける,なまける,to be idle; to slacken / to neglect (e.g. one's work)
わざと,態と,on purpose
いただきます,頂きます,expression of gratitude before meals
大した,たいした,considerable; great; important; significant; a big deal
叩く,たたく,to strike; to clap; to knock; to beat; to tap; to pat / to play drums / to abuse; to flame (e.g. on the Internet); to insult / to consult; to sound out / to brag; to talk big / to call; to invoke (e.g. a function)
知らせ,しらせ,news; word; tidings; notice; notification; information / omen
しゃべる,喋る,to talk; to chat; to chatter
じかに,直に,directly; in person; firsthand
通り,とおり,"avenue; street; way; road / coming and going; street traffic / flow (of water, air, etc.) / transmission (of sound); reach (e.g. of voice) / fame; reputation; popularity / the same status or way; as (e.g. as expected, as I said) / understanding; comprehension / counter for sets of things; counter for methods, ways, types"
つかむ,掴む,to seize; to catch; to grasp; to grip; to grab; to clutch; to hold; to catch hold of; to lay one's hands on / to obtain; to acquire; to get; to win; to capture / to understand; to grasp; to comprehend
諦める,あきらめる,"to give up; to abandon (hope, plans); to resign oneself (to)"
おぼれる,溺れる,to drown; to nearly drown; to sink below the surface (of water) / to indulge in; to lose one's head over something; to wallow in
田,た,rice field
とにかく,兎に角,anyhow; at any rate; anyway; somehow or other; generally speaking; in any case; at least
度,たび,"time (three times, each time, etc.); times"
度,ど,"degree (angle, temperature, scale, etc.) / counter for occurrences / strength (of glasses); glasses prescription / alcohol content (percentage); alcohol by volume / extent; degree; limit / presence of mind; composure"
銅貨,どうか,copper coin
届く,とどく,to reach; to arrive; to get through; to get at / to be attentive; to pay attention / to be delivered; to carry (e.g. sound)
トン,屯,"ton (now usu. a metric ton, i.e. 1,000kg); tonne"
どうしても,如何しても,by all means; at any cost; no matter what; at any rate; surely / whether (one is) willing or not; willingly or unwillingly; willy-nilly / on no account; by no means / in the end; in the long run; after all; eventually
任せる,まかせる,"to entrust (e.g. a task) to another; to leave to / to passively leave to someone else's facilities / to leave to take its natural course / to continue (something) in a natural fashion (without particular aim) / to rely fully on one's (full strength, great ability, long time taken) to get something done"
売れる,うれる,to sell (well) / to be well known; to be popular; to be famous
莫大,ばくだい,enormous; vast / malva nut (Sterculia lychnophora)
抜く,ぬく,to pull out; to draw out; to extract; to unplug; to weed / to omit; to leave out; to go without; to skip / to do to the end; to carry through / to let out (e.g. air from a tyre); to drain (e.g. water from a bath); to empty / to pick out; to choose; to select; to extract / to pilfer; to steal / to remove; to get rid of; to take out / to pass; to overtake; to outstrip; to get ahead of / to pierce; to break through; to go through / to cut out (a shape); to create (a pattern) by dying the surrounding area / to seize; to capture; to reduce / to scoop (a story) / to take out (an opponent's stones; in go) / to masturbate (of a male); to ejaculate (while masturbating) / to take (a photo); to record (video)
抜ける,ぬける,to come out; to fall out; to be omitted; to be missing; to escape; to come loose / to fade; to discolour / to wear a hole (e.g. clothes) / to leave (e.g. a meeting) / to be clear; to be transparent (e.g. of the sky) / to be stupid; to be absentminded; to be careless; to be inattentive / to exit (a program loop) / to go through; to pass through
微笑む,ほほえむ,to smile
表,ひょう,table (e.g. Table 1); chart; list
ふと,不図,suddenly; casually; accidentally; incidentally; unexpectedly; unintentionally
付ける,つける,to attach; to join; to add; to append; to affix; to stick; to glue; to fasten; to sew on; to apply (ointment) / to furnish (a house with) / to wear; to put on / to keep a diary; to make an entry / to appraise; to set (a price) / to allot; to budget; to assign / to bring alongside / to place (under guard or doctor) / to follow; to shadow / to load; to give (courage to) / to keep (an eye on) / to establish (relations or understanding) / to turn on (light) / to produce flowers; to produce fruit
仏,ほとけ,Buddha; merciful person; Buddhist image / the dead; dead person; spirit of the dead
分,ぶん,part; segment; share; ration / rate / degree; one's lot; one's status; relation; duty; kind; lot / relationship; connection; correspondence / in proportion to; just as much as
文,ぶん,sentence / composition; text; writings / the literary arts (as opposed to the military arts); academia; literature / statement
しかも,然も,moreover; furthermore / nevertheless; and yet
平ら,たいら,flatness; level; smooth; calm; plain; sitting tailor fashion
柄,え,"handle; grip / stalk (of a mushroom, leaf, etc.)"
法,ほう,law; act; principle / method / mood / dharma
およそ,凡そ,about; roughly; approximately / generally; on the whole; as a rule / completely; quite; entirely; altogether; totally; not at all (with neg. verb) / outline; gist
綿,めん,cotton
もちろん,勿論,of course; certainly; naturally
もっとも,尤も,but then; although; though / reasonable; natural; just
優れる,すぐれる,to surpass; to outstrip; to excel
率,りつ,rate; ratio; proportion; percentage
量,りょう,quantity; amount; volume; portion (of food)
唸る,うなる,"to groan; to moan / to roar; to howl; to growl / to hum (engine, wind, etc.); to buzz; to whiz; to sough; to make a low, dull sound / to ooh and aah (in admiration) / to sing in a strong, low voice (esp. traditional chant or recitation) / to be about to burst; to overflow"
ほこり,埃,dust / one ten-billionth
いずれ,何れ,where; which; who / anyway; anyhow; at any rate / sooner or later; eventually; one of these days; at some future date or time / both; either; any; all; whichever
やや,稍,a little; partially; somewhat; slightly; semi-; -ish; on the ... side; a short time; a while
はさみ,鋏,scissors; shears; clippers / hole punch
いつでも,何時でも,(at) any time; always; at all times; whenever
うがい,嗽,gargling; rinsing one's mouth
数,すう,several; a number of / quantity; amount / counting; figures; numbers / number; numeral; figure / grammatical number / destiny; fate; course of events; trend
避ける,さける,to avoid (physical contact with) / to avoid (situation) / to ward off; to avert
描く,えがく,"to draw; to paint; to sketch / to depict; to describe / to picture in one's mind; to imagine / to form a certain shape (e.g. path of an action, appearance of an object, etc.)"
品,しな,article; item; thing; goods; stock / quality / flirtatiousness; coquetry
抱く,いだく,"to embrace; to hold in the arms (e.g. a baby); to hug / to harbour (e.g. grudge); to harbor; to bear; to have (e.g. ambition); to entertain (e.g. hope, suspicion) / to have sex with; to make love to; to sleep with / to sit on eggs"
方々,ほうぼう,here and there; this way and that way; everywhere; all over
面,めん,"face / mask; face guard / (in kendo) striking the head / surface (esp. a geometrical surface) / page / aspect; facet; side / chamfer / counter for broad, flat objects, levels or stages, e.g. in a video game"
さて,偖,well; now; then
空く,すく,to become less crowded; to thin out; to get empty / to be hungry
あらゆる,有らゆる,all; every
ありがとう,有り難う,Thank you; Thanks
あるいは,或いは,or; either ... or / maybe; perhaps; possibly / sometimes; some
いただく,頂く,to receive; to get; to accept; to take; to buy / to eat; to drink / to be crowned with; to wear (on one's head); to have (on top) / to have (as one's leader); to live under (a ruler); to install (a president) / to get somebody to do something
いらいら,苛々,to get irritated; to get annoyed; to be on the edge; to fret; to lose patience
得る,える,"to get; to earn; to acquire; to procure; to gain; to secure; to attain; to obtain; to win / to understand; to comprehend / to receive something undesirable (e.g. a punishment); to get (ill) / to be able to ..., can ..."
下ろす,おろす,to take down (e.g. flag); to launch (e.g. boat); to drop; to lower (e.g. ladder); to let (a person) off; to unload; to discharge / to drop off (a passenger from a vehicle); to let (a person) off / to withdraw (cash) / to wear (clothing) for the first time / to fillet (e.g. a fish)
陰,かげ,shade; shadow / other side; back; background
かなり,可也,considerably; fairly; quite
効く,きく,to be effective; to show effect / to do its work; to carry out its function well / to be possible to use
すべて,全て,everything; all; the whole / entirely; completely; wholly; all
せいぜい,精々,at the most; at best; to the utmost; as much (far) as possible
それぞれ,夫れ夫れ,each; respectively
たまたま,偶々,casually; unexpectedly; accidentally; by chance
吠える,ほえる,to bark; to bay; to howl; to bellow; to roar; to cry
ますます,益々,increasingly; more and more; decreasingly (when declining); less and less
むしろ,寧ろ,rather; better; instead
よう,様,appearing ...; looking ... / way to ...; method of ...ing / form; style; design / like; similar to / thing (thought or spoken)
一度に,いちどに,all at once
生まれ,うまれ,"birth; birthplace / born in (country, month, imperial era, zodiac year, etc.)"
かかる,罹る,to contract (a disease); to suffer from
せい,所為,consequence; outcome; result; blame
違いない,ちがいない,(phrase) sure; no mistaking it; for certain
滅多に,めったに,rarely; seldom
もしも,若しも,if
ひく,轢く,to run over (with a vehicle); to knock down
つぐ,注ぐ,"to pour (into a vessel); to fill (a cup, bowl, etc.) with; to dish out (food or drink)"
だって,,after all; because / but / even / too; as well; also / they say; I hear; you mean
吐く,はく,to vomit; to throw up; to spit up / to emit; to send forth; to breathe out / to give (an opinion); to make (a comment); to express; to tell / to confess
品,ひん,"elegance; grace; refinement; class; dignity / article; item / counter for items (of food, etc.); counter for dishes or courses (at a restaurant)"
やはり,矢張り,too; also; likewise; either / still; as before / even so; either way; nonetheless; in any event; all the same / as expected
回り,まわり,rotation / making the rounds / spreading / effect; efficacy / by way of; via / round; turn / size / 12-year period; 12-year age difference
お,御,honorific/polite/humble prefix
身体,しんたい,body; physical system; person
いらっしゃい,,come; go; stay / welcome
これら,これ等,these
そっくり,,all; altogether; entirely; completely / exactly like; just like
だけど,,however
よると,依ると,according to
びっくり,吃驚,to be surprised; to be amazed; to be frightened; to be astonished; to get startled; to jump / surprise (e.g. surprise party)
作法,さほう,"manners; etiquette; propriety / manner of production (esp. of prose, poetry, etc.); way of making"
うまい,上手い,skillful; skilful; clever; expert; wise; successful / delicious; appetizing; appetising; tasty / fortunate; splendid; promising
男の人,おとこのひと,man
泳ぎ,およぎ,swimming
中,ちゅう,"medium; average; middle / moderation / middle school / China / volume two (of three) / during (a certain time when one did or is doing something); under (construction, etc.); while / in; out of (e.g. three out of ten people)"
にっこり,,sweetly (smiling); broadly (grinning)
訓,くん,native Japanese reading of a Chinese character / precept; lesson; one's teachings
番,ばん,number (in a series) / (one's) turn / watch; guard; lookout / bout; match
だが,,but; however; (and) yet; nevertheless; still; for all that
日,にち,Sunday / day (of the month) / counter for days / Japan
急に,きゅうに,"swiftly; rapidly; quickly; immediately; hastily; hurriedly / suddenly; abruptly; unexpectedly / sharply (of a slope, bend, etc.); steeply"
オーバー,,overcoat / exceeding; going over; going beyond / exaggerated; over the top; overdrawn; overreaction / over par / overexposure
オフィス,,office
カー,,car
キャプテン,,captain
グランド,,"large / gland / ground (e.g. land, electrical, base material of textiles, etc.)"
ジーンズ,,jeans
バン,,bun / van (caravan) / bang / ban (esp. of a player from an online game)
パス,,"path / pass (e.g. skipping a move, passing an examination, ticket to allow entry, etc.) / pass"
マスター,,"to master (a skill) / proprietor; manager; owner; barkeeper / leader; chief; head / master (of arts, science, etc.) / master (recording) / master (device)"
ヨーロッパ,欧羅巴,Europe
ノー,,no / no; without; not needed; not allowed
縁,えん,"fate; destiny (esp. as a mysterious force that binds two people together) / relationship (e.g. between two people); bond; link; connection / family ties; affinity / opportunity; chance (to meet someone and start a relationship) / pratyaya (indirect conditions, as opposed to direct causes) / narrow open-air veranda"
いつか,何時か,sometime; someday; one day; some time or other; the other day; in due course; in time
ごめんなさい,御免なさい,I beg your pardon; excuse me
州,す,sandbank; sandbar
直,なお,straight / ordinary; common / doing nothing
分,ぶ,"one-tenth; one percent (one-tenth of a wari); 3 mm (one-tenth of a sun); 2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes); 0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale) / one-quarter of a ryou (obsolete unit of currency) / thickness / advantageous circumstances / one-tenth of a monme of silver"
率土,そっと,face of the earth
ばったり,,with a clash; with a thud; with a bang; with a flop; plump / unexpectedly (meeting someone) / suddenly (ending); abruptly (coming to a halt)
不,ふ,un-; non-; negative prefix
極,きょく,pole / climax; extreme; extremity; culmination; height; zenith; nadir
無,む,nothing; naught; nought; nil; zero / un-; non-
お互い,おたがい,mutual; reciprocal; each other
あんなに,,to that extent; to that degree
密,みつ,density; thickness / secrecy / minute; fine / esoteric Buddhism; secret Buddhist teachings
訳,やく,translation; version (e.g. "English version")
はあ,,yes; indeed; well / ha! / what?; huh? / sigh
軒,けん,"counter for buildings (esp. houses) / suffix for a pen name, stage name, etc."
下,げ,"lowness (of degree, value, etc.); inferiority / second volume (of two); third volume (of three)"
下,しも,"lower reaches (of a river) / bottom; lower part / lower half (of the body, esp. the privates); feces (faeces); urine; menses / end; far from the imperial palace (i.e. far from Kyoto, esp. of western Japan) / dirty (e.g. dirty jokes, etc.)"
税,ぜい,tax
小,しょう,smallness; small item / short month (i.e. having fewer than 31 days) / elementary school / younger or inferior (of two items or people with the same name) / unit of field area (approx. 400 sq m)
後,ご,after
ＶＡＮ,バン,value-added network; VAN
元,もと,former; ex-; past; one-time
ケチ,,stinginess; miserliness; penny-pinching; cheeseparing; miser; pinchpenny; skinflint; cheapskate; tightwad; niggard / shabby; cheap; mangy; poor / petty; narrow-minded; quibbling; mean-spirited / bad luck; ill omen; glitch
無,ぶ,un-; non- / bad ...; poor ...
できれば,出来れば,if possible
夜露死苦,よろしく,best regards; please remember me; please treat me favorably (favourably); please take care of
値,ね,price; cost / value; worth; merit
以来,いらい,since; henceforth
委員,いいん,committee member
維持,いじ,maintenance; preservation; improvement
違反,いはん,violation; offense; offence; breach; transgression; infringement; contravention
医療,いりょう,medical care; medical treatment
一般,いっぱん,general; universal / ordinary; average; common / the same; no different; (just) as if
一方,いっぽう,one (esp. of two); the other; one way; the other way; one direction; the other direction; one side; the other side; one party; the other party / on the one hand; on the other hand / whereas; although; but at the same time; meanwhile; in turn / just keeps; being inclined to ...; tending to be ...; tending to do ...; continuously ...; just keeps on ...ing; only
運動,うんどう,exercise; physical training; work-out / appeal; campaign; drive; crusade; movement; lobbying / motion; movement
影響,えいきょう,influence; effect / to influence; to affect; to have an influence on; to impact; to have an effect on
援助,えんじょ,assistance; aid; support
価格,かかく,price; value; cost
可能,かのう,possible; potential; practicable; feasible
過去,かこ,the past; bygone days; the previous / a past (i.e. a personal history one would prefer remained secret); one's past / past (tense); preterit; preterite / previous life
会員,かいいん,member; the membership
解決,かいけつ,settlement; solution; resolution
回復,かいふく,restoration; rehabilitation; recovery; return; replevin; improvement / recovery (from an illness); recuperation; convalescence
海外,かいがい,foreign; abroad; overseas
外交,がいこう,diplomacy / selling (e.g. door-to-door); canvassing
拡大,かくだい,magnification; enlargement; expansion; amplification
活動,かつどう,action; activity / movie (esp. during the silent movie period)
患者,かんじゃ,patient
環境,かんきょう,environment; circumstance
監督,かんとく,supervision; control; superintendence; direction / director; superintendent; supervisor; coach; foreman; manager; overseer; controller; boss
管理,かんり,control; management (e.g. of a business)
関心,かんしん,concern; interest
関連,かんれん,relation; connection; relevance
企業,きぎょう,enterprise; business; company; corporation
基本,きほん,foundation; basis; standard
期間,きかん,period; term; interval
期待,きたい,expectation; anticipation; hope
機関,きかん,engine / agency; organisation; organization; institution; organ; body / system; facility; facilities
機能,きのう,function; facility; faculty; feature
記事,きじ,article; news story; report; account
記者,きしゃ,reporter
記録,きろく,record; minutes; document / record (e.g. in sports); results; score / to record; to document / to set a record (e.g. in sports); to show a result; to reach a value
議員,ぎいん,member of an assembly; member of the Diet; member of parliament; member of Congress
議会,ぎかい,congress; parliament; diet; legislative assembly
議長,ぎちょう,"chairman; speaker (e.g. of assembly); president (e.g. of council, senate, etc.); moderator (e.g. of a newsgroup)"
教授,きょうじゅ,professor / teaching; instruction
筋,すじ,"muscle; tendon; sinew / vein; artery / fiber; fibre; string / line; stripe; streak / reason; logic / plot; storyline / lineage; descent / school (e.g. of scholarship or arts) / aptitude; talent / source (of information, etc.); circle; channel / well-informed person (in a transaction) / logical move (in go, shogi, etc.) / ninth vertical line / seam on a helmet / gristly fish paste (made of muscle, tendons, skin, etc.) / social position; status / on (a river, road, etc.); along / counter for long thin things; counter for roads or blocks when giving directions / (Edo period) counter for hundreds of mon (obsolete unit of currency)"
金融,きんゆう,finance; financing; credit transacting; loaning of money; circulation of money / monetary; financial; credit
契約,けいやく,contract; compact; agreement
景気,けいき,business conditions; the market; economic activity; economic climate / good (economic) times; prosperity; boom / liveliness; energy; vigour; vigor; spirit
経営,けいえい,management; administration; operation; running (business); conducting
計画,けいかく,plan; project; schedule; scheme; program; programme
決定,けってい,decision; determination
結果,けっか,result; consequence; outcome; effect / coming to fruition; bearing fruit
建設,けんせつ,construction; establishment
憲法,けんぽう,constitution
現在,げんざい,now; current; present; present time; as of
現実,げんじつ,reality; actuality; hard fact
現場,げんば,actual spot; scene; scene of the crime; site; location; setting / shop floor; factory floor; (on) site
いわば,言わば,so to speak; so to call it; as it were
個人,こじん,individual; private person; personal; private
候補,こうほ,candidate; contender; prospect; pick; choice; list / candidacy; candidature; nomination
効果,こうか,"effect; effectiveness; efficacy; result / effects (e.g. sound effects, visual effects, special effects)"
攻撃,こうげき,attack; strike; offensive / criticism; censure; denunciation; condemnation
考え,かんがえ,thinking; thought; view; opinion; concept / idea; notion; imagination / intention; plan; design / consideration; judgement; deliberation; reflection / wish; hope; expectation
行動,こうどう,action; conduct; behaviour; behavior; mobilization; mobilisation
国家,こっか,state; country; nation
国会,こっかい,National Diet; legislative assembly of Japan (1947-) / Imperial Diet; legislative assembly of Japan (1889-1947) / legislative assembly; parliament; congress
国民,こくみん,people (of a country); nation; citizen; national
今回,こんかい,now; this time; lately
今後,こんご,from now on; hereafter
最も,もっとも,most; extremely
最高,さいこう,most; highest; maximum; uppermost; supreme / best; wonderful; finest
最終,さいしゅう,last; final; closing
裁判,さいばん,trial; judgement; judgment
作業,さぎょう,work; operation; manufacturing; fatigue duty
作品,さくひん,"work (e.g. book, film, composition, etc.); opus; performance; production"
参加,さんか,participation
姿,すがた,figure; form; shape / appearance; dress; guise / state; condition; picture; image / form (of a waka) / dressed in ...; wearing ...
市場,いちば,(town) market / (the) marketplace
指導,しどう,guidance; leadership; instruction; direction; coaching / shido (disciplinary action for a minor infringement of the rules of judo)
事件,じけん,event; affair; incident; case; plot; trouble; scandal
事実,じじつ,fact; truth; reality
事情,じじょう,circumstances; conditions; situation; reasons; state of affairs
事務,じむ,office work; clerical work; administration; business; affairs
時期,じき,time; season; period; phase; stage
自身,じしん,by oneself; personally
自然,しぜん,nature / natural; spontaneous / naturally; spontaneously
実施,じっし,enforcement; implementation; putting into practice; carrying out; operation; working (e.g. working parameters); enactment
首相,しゅしょう,"Prime Minister; Chancellor (Germany, Austria, etc.); Premier"
州,しゅう,state; province; county; oblast; department (of ancient China) / continent / dear
住宅,じゅうたく,residence; housing; residential building
住民,じゅうみん,inhabitant; resident; citizen; population
重要,じゅうよう,important; momentous; essential; principal; major
出身,しゅっしん,"person's origin (e.g. city, country, parentage, school)"
女子,じょし,woman; girl
商品,しょうひん,commodity; article of commerce; goods; stock; merchandise
情報,じょうほう,"information; news; intelligence; advices / information; data contained in characters, signals, code, etc."
条件,じょうけん,condition; term; requirement; qualification; prerequisite
状況,じょうきょう,state of affairs (around you); situation; circumstances
状態,じょうたい,current status; condition; situation; circumstances; state
新た,あらた,new; fresh; novel
人間,にんげん,human being; person; man; mankind; humankind / character (of a person)
人気,にんき,popularity; public favor / condition (e.g. market); tone; character; nature
制度,せいど,system; institution; organization; organisation
成長,せいちょう,"growth; development; growing up; becoming an adult / growth (of a company, the economy, etc.)"
政府,せいふ,government; administration
積極的,せっきょくてき,positive; assertive; active; proactive; aggressive
責任,せきにん,duty; responsibility (incl. supervision of staff) / liability; onus
選手,せんしゅ,player (sports); athlete; team member
全体,ぜんたい,whole; entirety; whatever (is the matter)
組織,そしき,"organization; organisation; formation / structure; construction; setup; constitution / system (e.g. railroad, transport, party, etc.) / tissue / texture (of a rock) / weave (of a fabric)"
相手,あいて,"companion; partner; company / other party; addressee / opponent (sports, etc.)"
対象,たいしょう,"target; object (of worship, study, etc.); subject (of taxation, etc.)"
代表,だいひょう,representative; representation; delegation; type; example; model / switchboard number; main number
台,だい,"stand; rack; table; bench; podium; pedestal; platform; stage / support; holder; rack / counter for machines, incl. vehicles / setting (e.g. in jewellery) / level (e.g. price level); range (e.g. after physical units); period (of time, e.g. a decade of one's life) / elevated area / viewing platform / dish tray / meal / tall building; tower"
大会,たいかい,convention; tournament; mass meeting; rally
大統領,だいとうりょう,president (of a nation or company); chief executive / big man; boss; buddy; mate
団体,だんたい,organization; organisation; association
男子,だんし,youth; young man
知事,ちじ,prefectural governor
地域,ちいき,area; region
地球,ちきゅう,the earth; the globe
地方,ちほう,district; region; area; locality / the country; countryside; the provinces; rural area
中央,ちゅうおう,centre; center; middle; heart / metropolis; capital city; central government
中心,ちゅうしん,center; centre; middle; heart; core; focus; pivot; emphasis; balance / -centered; -centred; -focussed; -oriented; centered on; focussed on
調査,ちょうさ,investigation; examination; inquiry; enquiry; survey
通信,つうしん,correspondence; communication; transmission; news; signal; telecommunications
程度,ていど,degree; amount; grade; standard; of the order of (following a number); about; approximately
都市,とし,town; city; municipal; urban
努力,どりょく,effort; exertion; endeavour; endeavor; hard work; striving
土地,とち,plot of land; lot; soil / locality; region; place
投票,とうひょう,voting; poll
当時,とうじ,at that time; in those days
同時,どうじ,simultaneous; concurrent; same time; synchronous; together
内容,ないよう,contents; content; substance; matter; detail; import
年間,ねんかん,(period of) a year / during an era
農業,のうぎょう,agriculture
判断,はんだん,judgment; judgement; decision; conclusion; adjudication / divination / judgement
販売,はんばい,sales; selling; marketing
批判,ひはん,criticism; judgement; judgment; comment
舞台,ぶたい,"stage (theatre, theater) / scene or setting (e.g. of novel, play, etc.)"
部分,ぶぶん,portion; section; part
分野,ぶんや,field; sphere; realm; division; branch
平和,へいわ,peace; harmony
変化,へんか,change; variation; alteration; mutation; transition; transformation; transfiguration; metamorphosis / variety; diversity / inflection; declension; conjugation / sidestepping
報告,ほうこく,report; information
放送,ほうそう,broadcast; broadcasting
方向,ほうこう,direction; orientation; bearing; way / course (e.g. of action)
方法,ほうほう,method; process; manner; way; means; technique
訪問,ほうもん,call; visit
明らか,あきらか,obvious; evident; clear; plain
目的,もくてき,purpose; goal; aim; objective; intention
目標,もくひょう,mark; objective; target
役割,やくわり,part; assigning (allotment of) parts; role; duties
輸出,ゆしゅつ,export / efferent
輸入,ゆにゅう,importation; import; introduction / afferent
優勝,ゆうしょう,overall victory; championship
予算,よさん,estimate; budget
要求,ようきゅう,demand; firm request; requisition; requirement; desire
立場,たちば,position; situation / viewpoint; standpoint; point of view
連続,れんぞく,continuation; succession; series
一時,いちじ,one o'clock / once; at one time; formerly; before / for a time; for a while; for the time being; for the present; for the moment; temporarily / a time; one time; once
全国,ぜんこく,countrywide; nationwide; whole country; national
平均,へいきん,average; mean / balance; equilibrium
共同,きょうどう,"doing together (as equals); sharing; common (land, etc.); joint (statement, etc.); cooperation; co-operation; collaboration; association"
協力,きょうりょく,cooperation; collaboration
銀,ぎん,silver (Ag) / silver coin; money / silver medal / silver colour; silver color / bank / silver general
事態,じたい,situation; (present) state of affairs; circumstances
労働,ろうどう,manual labor; manual labour; toil; work / Labour Party
愛,あい,love; affection; care / attachment; craving; desire
安定,あんてい,stability; steadiness; equilibrium
意識,いしき,"consciousness / becoming aware (of); awareness; sense / mano-vijnana (mental consciousness, cognizer of sensory information)"
違い,ちがい,difference; distinction; discrepancy / mistake; error
医師,いし,doctor; physician
宇宙,うちゅう,universe; cosmos; space
運転,うんてん,"operation (of a machine, etc.); operating; running; run / driving / working (capital, etc.)"
営業,えいぎょう,business; trade; sales; operations
衛星,えいせい,satellite
演説,えんぜつ,speech; address
会合,かいごう,meeting; assembly; gathering / association / conjunction
改善,かいぜん,betterment; improvement / kaizen (Japanese business philosophy of continuous improvement)
開始,かいし,start; commencement; beginning; initiation
確実,かくじつ,certainty; reliability; soundness
感じ,かんじ,feeling; sense; impression
観光,かんこう,sightseeing
希望,きぼう,hope; wish; aspiration
記念,きねん,commemoration; celebration; honoring the memory of something; turning something into a memento; memory
疑問,ぎもん,doubt; question; suspicion; dubiousness
議論,ぎろん,argument; discussion; dispute; controversy
競技,きょうぎ,game; match; contest
共通,きょうつう,common; shared; mutual / to be common (to); to be shared (by) / -wide
教師,きょうし,teacher (classroom)
胸,むね,chest; breast / breasts; bosom; bust / heart / lungs / stomach / heart; mind; feelings
禁止,きんし,prohibition; inhibition; ban
軍,ぐん,army; force; troops
傾向,けいこう,tendency; trend; inclination
経験,けいけん,experience
芸術,げいじゅつ,(fine) art; the arts
劇場,げきじょう,theatre; theater; playhouse
結局,けっきょく,"after all; in the end; ultimately; eventually / conclusion; end / end of a game of go, shogi, etc."
結論,けつろん,conclusion
健康,けんこう,health / healthy; sound; fit; wholesome
検査,けんさ,"inspection (e.g. customs, factory); examination; scan (e.g. MRI, PET, etc.)"
検討,けんとう,consideration; examination; investigation; study; scrutiny; discussion; analysis; review
権利,けんり,right; privilege
見解,けんかい,opinion; point of view
現状,げんじょう,present condition; existing state; status quo; current state
現代,げんだい,nowadays; modern era; modern times; present-day
交換,こうかん,"exchange; interchange; switching; reciprocity; barter; substitution; replacement; clearing (of checks, cheques)"
広告,こうこく,advertisement
航空,こうくう,aviation; flying
講演,こうえん,lecture; address; speech
国境,こっきょう,national border; provincial border
混乱,こんらん,disorder; chaos; confusion; mayhem
差,さ,difference; variation / difference
再び,ふたたび,again; once more; a second time
作家,さっか,author; writer; novelist; artist
賛成,さんせい,approval; agreement; support; favour; favor
使用,しよう,use; application; employment; utilization; utilisation
思わず,おもわず,unintentionally; reflexively; spontaneously; involuntarily; instinctively
支店,してん,branch office; branch store
実験,じっけん,experiment
実現,じつげん,implementation (e.g. of a system); materialization; materialisation; realization; realisation
実際,じっさい,practicality; practical / reality; actuality; actual conditions / bhutakoti (limit of reality)
主義,しゅぎ,doctrine; rule; principle; -ism
主張,しゅちょう,claim; insistence; assertion; advocacy; emphasis; contention; opinion; tenet
主婦,しゅふ,housewife; mistress (of the house); homemaker
主要,しゅよう,chief; main; principal; major
首都,しゅと,capital city; metropolis
需要,じゅよう,demand; request
収入,しゅうにゅう,income; receipts; revenue
宗教,しゅうきょう,religion; religious affiliation; belief; faith; creed / religious activity
修正,しゅうせい,amendment; correction; revision; modification; alteration; retouching; update; fix
集団,しゅうだん,group; mass
準備,じゅんび,preparation; setup; arrangements; provision; reserve
処理,しょり,processing; dealing with; treatment; disposition; disposal
少年,しょうねん,boy; juvenile; young boy; youth; lad
承認,しょうにん,recognition; acknowledgement; acknowledgment; approval; consent; agreement
消費,しょうひ,consumption; expenditure
障害,しょうがい,obstacle; impediment; hindrance; difficulty; barrier / handicap; impairment; disability; disorder; malfunction
深刻,しんこく,serious; severe; grave; acute
身,み,"body / oneself / one's place; one's position / main part; meat (as opposed to bone, skin, etc.); wood (as opposed to bark); blade (as opposed to its handle); container (as opposed to its lid)"
人生,じんせい,(human) life (i.e. conception to death)
人物,じんぶつ,person; character; figure; personage; man; woman / one's character; one's personality / able person; talented person
推薦,すいせん,recommendation; referral; endorsement
水準,すいじゅん,level; standard / water level
数字,すうじ,numeral; figure; digit; numeric character
正式,せいしき,due form; official; formality
精神,せいしん,mind; spirit; soul; heart; ethos / attitude; mentality; will; intention / spirit (of a matter); essence; fundamental significance
製造,せいぞう,manufacture; production
製品,せいひん,manufactured goods; finished goods; product
石油,せきゆ,oil; petroleum; kerosene
設備,せつび,equipment; device; facilities; installation
全員,ぜんいん,all members (unanimity); all hands; the whole crew; everyone; everybody
組合,くみあい,association; union; guild
相談,そうだん,consultation; discussion; discussing; asking (somebody) for advice
装置,そうち,equipment; device; installation; apparatus / stage setting
増加,ぞうか,increase; rise; growth; addition; increment
