読み,よみ,reading
句,く,"section (i.e. of text); sentence; passage; paragraph / phrase / verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry) / haiku; first 17 morae of a renga, etc. / maxim; saying; idiom; expression"
敬意,けいい,respect; honour; honor
欠点,けってん,fault; defect; flaw; weak point; weakness; shortcoming; drawback / failure (in an examination); failing grade
考慮,こうりょ,consideration; taking into account
克服,こくふく,"conquest (of a difficulty, illness, handicap, etc.); overcoming; bringing under control; subjugation; victory over"
骨折,こっせつ,bone fracture
手伝い,てつだい,helper; assistant / help
受け取る,うけとる,to receive; to get; to accept / to take; to interpret; to understand
週間,しゅうかん,week
奨学金,しょうがくきん,scholarship; stipend; bursary / student loan
小麦,こむぎ,wheat
清潔,せいけつ,clean; hygienic; sanitary / pure; virtuous; immaculate
生地,きじ,cloth; fabric; material; texture / dough; batter / inherent quality; one's true character; one's true colours / unglazed pottery / skin with no make-up
節約,せつやく,economising; saving
注,ちゅう,annotation; explanatory note; comment
駐車,ちゅうしゃ,parking (e.g. car)
笛,ふえ,flute; fife; pipe; recorder; flageolet; shakuhachi; clarinet / whistle
刀,かたな,(single-edged) sword; katana / dagger; knife / scalpel / chisel; burin; graver / knife money; knife-shaped commodity money used in Zhou dynasty China
飛び出す,とびだす,to jump out; to rush out; to fly out / to appear (suddenly) / to protrude; to project / to butt in
歩道,ほどう,footpath; walkway; sidewalk
方,ほう,"direction; way; side; area (in a particular direction) / side (of an argument, etc.); one's part / type; category / field (of study, etc.) / indicates one side of a comparison / way; method; manner; means / length (of each side of a square)"
望む,のぞむ,to desire / to wish for; to expect / to see; to command (a view of)
要するに,ようするに,in short; in a word; to sum up; to put it simply; to make a long story short; after all
嵐,あらし,storm; tempest / storm; hullaballoo; uproar; winds (e.g. of change)
行き,ゆき,the way there; outbound leg; outbound trip; departing leg / bound for ... / outbound ticket
扱う,あつかう,to deal with (a person); to treat; to handle; to take care of; to entertain / to deal with (a problem); to handle; to manage / to operate (e.g. a machine); to handle; to work / to deal in; to sell / to cover (a topic); to treat; to discuss; to take up / to treat A as B / to mediate (an argument) / to be too much for one; to find unmanageable / to gossip
移す,うつす,"to change; to swap; to substitute; to transfer / to change the object of one's interest or focus / to spend or take time / to infect / to permeate something with the smell or colour of something / to move on to the next or different stage of (a plan, etc.)"
衣服,いふく,clothes
楽,らく,comfort; ease / raku pottery
掲示,けいじ,notice; bulletin; post; posting; placard
迎え,むかえ,meeting; greeting; welcome
食欲,しょくよく,appetite (for food)
真っ赤,まっか,bright red; deep red; flushed (of face) / downright (e.g. lie); complete; utter
診察,しんさつ,medical examination
生き物,いきもの,living thing; animal
前者,ぜんしゃ,the former
双子,ふたご,twins; twin
頂上,ちょうじょう,top; summit; peak
豆,まめ,"legume (esp. edible legumes or their seeds, such as beans, peas, pulses, etc.); beans; peas / soya bean (Glycine max); soybean; soy / female genitalia (esp. the clitoris) / kidney / miniature; tiny / child"
不思議,ふしぎ,wonderful; marvelous; strange; incredible; amazing; curious; miraculous; mysterious
物事,ものごと,things; everything
粉,こな,flour; meal; powder; dust
塀,へい,wall / fence
便り,たより,news; tidings; information; correspondence; letter
泡,あわ,bubble; foam; froth; head on beer
わた,綿,cotton plant (Gossypium spp.) / batting; wadding; padding
毛布,もうふ,blanket
夜中,よなか,middle of the night; dead of night
商人,しょうにん,merchant; trader; tradesman; dealer; shopkeeper
梅雨,つゆ,rainy season (in Japan from early June to mid-July) / rain during the rainy season
明かり,あかり,light; illumination; glow; gleam / lamp; light
空き,あき,space; room; gap; emptiness / vacancy; opening; empty seat / free time; time to spare / disuse; unused thing
学,がく,learning; scholarship; study; erudition; knowledge; education / study of ...; -ology; -ics
意志,いし,will; volition; intention; intent; determination
越す,こす,to cross over (e.g. mountain); to go across / to go over (e.g. with audience) / to pass time (e.g. a winter) / to surpass; to be better than; to exceed / to move house / to go; to come
さる,猿,"monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate / sly person / idiot; hick / sliding wooden bolt (for holding a door or window shut) / clasp used to control the height of a pot-hook / bathhouse prostitute"
我慢,がまん,patience; endurance; perseverance; tolerance; self-control; self-denial
外す,はずす,"to remove; to take off; to detach; to unfasten; to undo / to drop (e.g. from a team); to remove (from a position); to exclude; to expel / to leave (e.g. one's seat); to go away from; to step out; to slip away / to dodge (a question, blow, etc.); to evade; to sidestep; to avoid (e.g. peak season) / to miss (a target, chance, punch, etc.)"
疑う,うたがう,to doubt; to distrust; to be suspicious of; to suspect
勤め,つとめ,service; duty; business; responsibility; task / Buddhist religious services
偶然,ぐうぜん,coincidence; chance; accident; fortuity / by chance; unexpectedly; accidentally / contingency (philosophy)
表す,あらわす,to represent; to signify; to stand for / to reveal; to show; to display / to express / to make widely known
構う,かまう,to mind; to care about; to be concerned about; to have a regard for / to be an issue; to matter; to create inconvenience / to keep company; to care for; to look after; to entertain; to pay attention to; to spend time with / to interfere with; to meddle in / to tease / to banish; to prohibit
芝生,しばふ,lawn
邪魔,じゃま,hindrance; obstacle; nuisance / to visit (somebody's home) / demon who hinders Buddhist training; demon who obstructs sentient beings from maintaining moral behaviour
したがって,従って,therefore; consequently; accordingly
書物,しょもつ,book; volume
親友,しんゆう,"close friend; bosom (old, intimate) friend; buddy; crony; chum"
素晴らしい,すばらしい,wonderful; splendid; magnificent
体温,たいおん,"temperature; body temperature (human, animal)"
題,だい,title; subject; theme; topic / problem (on a test); question / counter for questions (on a test)
単語,たんご,word; vocabulary; (usually) single-character word
道徳,どうとく,morals
謎,なぞ,riddle; puzzle; enigma; mystery / enigmatic; mysterious
破る,やぶる,"to tear; to rip; to break; to destroy / to break through (cordon, opponent's defense, etc.); to breach / to defeat; to beat / to break (e.g. silence); to disturb (e.g. peace); to shatter (e.g. dream); to disrupt; to spoil / to violate (e.g. rule); to break (e.g. promise); to infringe / to break (a record)"
無視,むし,disregarding; ignoring
夜明け,よあけ,dawn; daybreak
悪口,あっこう,abuse; insult; slander; evil speaking; bad mouth
かわいそう,可哀相,poor; pitiable; pathetic; pitiful
気づく,きづく,to notice; to recognize; to recognise; to become aware of; to perceive; to realize; to realise
食う,くう,"to eat / to live; to make a living; to survive / to bite; to sting (as insects do) / to tease; to torment; to taunt; to make light of; to make fun of / to encroach on; to eat into; to consume / to defeat a superior; to threaten a position / to consume time and-or resources / to receive something (usu. an unfavourable event) / to have sexual relations with a woman, esp. for the first time"
匂い,におい,odour; odor; scent; smell; stench / aura; whiff; smacks of ...; sense; flavour; flavor
段,だん,"step; stair; (flight of) steps; (row of) stitches; columns (of print) / grade; rank; level / counter for breaks in written language (or speech, etc.) / dan; senior rank in martial arts, go, shogi, etc."
老い,おい,old age; old person; the old; the aged
お前,おまえ,"you / presence (of a god, nobleman, etc.)"
哀れ,あわれ,pity; sorrow; grief; misery; compassion; pathos / pitiable; pitiful; pathetic; miserable / alack; alas
握る,にぎる,"to clasp; to grasp; to grip; to clutch / to make (nigirizushi, rice ball, etc.); to form; to press into shape; to mold; to mould / to seize (power, etc.); to take hold of"
異なる,ことなる,to differ; to vary; to disagree
育つ,そだつ,to be raised (e.g. child); to be brought up; to grow (up)
引用,いんよう,quotation; citation; reference
羽,はね,"feather; plume; down / wing / blade (of a fan, propeller, etc.) / shuttlecock / arrow feathers"
嘘,うそ,lie; fib; falsehood; untruth / mistake; error / unwise move; bad decision / No way!; Unbelievable!; Really?!
噂,うわさ,rumour; rumor; report; hearsay; gossip; common talk
餌,えさ,(animal) feed; fodder; pet food / bait; lure; enticement
横切る,よこぎる,to cross (e.g. road); to traverse
王様,おうさま,king
沖,おき,open sea
恩,おん,favour; favor; obligation; debt of gratitude
くださる,下さる,to give; to confer; to bestow / to kindly do for one; to oblige; to favour; to favor
加える,くわえる,to add; to add up; to sum up; to append; to annex / to increase; to gather (e.g. speed); to pick up / to include; to count in; to let join / to inflict (damage); to deal; to give
加わる,くわわる,"to be added to; to be appended / to join in (e.g. a group of friends); to participate / to increase (e.g. heat); to gain in (e.g. influence); to grow; to gather (speed) / to be applied (e.g. heat, pressure); to be exerted"
加減,かげん,degree; extent; amount; balance; state; condition / (health) condition; state of health / adjustment; moderation; regulation / addition and subtraction / slight sign of ...; slight state of ... / just right for ...
火曜,かよう,Tuesday
稼ぐ,かせぐ,"to earn (income); to make (money) / to score (points, victory); to gain (time); to play (for time) / to work hard (at one's job); to labor; to labour; to toil"
過ごす,すごす,to pass (time); to spend / to overdo (esp. of one's alcohol consumption); to drink (alcohol) / to take care of; to support / to overdo; to do too much / to ... without acting on it
回す,まわす,to turn; to rotate; to gyrate / to circulate; to send around / to surround / to put something to a new use (e.g. leftovers) / ... around (e.g. to chase someone around) / to dial (e.g. telephone number) / to invest / to gang-rape
咳,せき,cough; coughing; tussis
害,がい,injury; harm; evil influence; damage
確かめる,たしかめる,to ascertain; to check; to make sure
覚ます,さます,to awaken; to arouse from sleep / to bring to one's senses; to disabuse (someone of) / to sober up / to dampen; to throw a damper on; to spoil
覚める,さめる,to wake; to wake up / to become sober; to sober up; to regain consciousness (e.g. after anaesthesia) / to come to one's senses; to be disillusioned
学ぶ,まなぶ,to study (in depth); to learn; to take lessons in
学期,がっき,school term; semester
割る,わる,"to divide / to cut; to halve; to separate; to split; to rip / to break; to crack; to smash / to dilute / to fall below / to discount / to step over (a line, etc.)"
刈る,かる,"to cut (grass, hair, etc.); to mow; to clip; to trim; to prune; to shear; to reap; to harvest"
完了,かんりょう,"completion; conclusion / perfect (tense, form, aspect)"
関する,かんする,to concern; to be related
含む,ふくむ,"to contain; to comprise; to have; to hold; to include; to embrace / to hold in the mouth / to bear in mind; to understand; to harbor (grudge, etc.); to harbour / to express (emotion, etc.); to imply"
願う,ねがう,to desire; to wish; to hope / to beg; to request; to implore; to pray / to have something done for oneself
器用,きよう,skilful; skillfull; adroit; dexterous; dextrous; deft; nimble; handy / clever; shrewd; ingenious
機嫌,きげん,humour; humor; temper; mood; spirits / safety; health; well-being; one's situation / in a good mood; in high spirits; happy; cheery; merry; chipper
気に入る,きにいる,to like; to be pleased with; to be delighted with; to take a liking to; to suit one's fancy
気の毒,きのどく,pitiful; unfortunate; poor; miserable; wretched / unpardonable; regrettable
記入,きにゅう,"entry (in a form, register, diary, etc.); filling in; filling out"
起こる,おこる,to occur; to happen
逆らう,さからう,to go against; to oppose; to disobey; to defy
及ぼす,およぼす,to exert; to cause; to exercise
救う,すくう,to rescue from; to help out of; to save
去る,さる,to leave; to go away / to pass; to elapse / to be distant / to send away; to drive off; to divorce / to (do) completely / last ... (e.g. "last April")
居眠り,いねむり,nodding off (while sitting); dozing
強調,きょうちょう,emphasis; highlight; stress; stressed point
おそらく,恐らく,perhaps; likely; probably; I dare say
恐ろしい,おそろしい,terrible; dreadful; terrifying; frightening; frightened / surprising; startling; tremendous; amazing
狂う,くるう,to go mad / to get out of order; to go amiss
苦しい,くるしい,"painful; difficult; tough; hard / distressing; (psychologically) difficult; stressful; awkward (e.g. position) / straitened (circumstances); tight (financial situation); needy; struggling / strained (interpretation, explanation, etc.); lame (e.g. excuse); forced (e.g. smile); far-fetched / hard to do; unpleasant"
苦しむ,くるしむ,to suffer; to groan; to be worried
経つ,たつ,to pass (of time); to elapse
決心,けっしん,determination; resolution
券,けん,ticket; coupon; bond; certificate
嫌う,きらう,to hate; to dislike; to loathe
見当,けんとう,estimate; guess; conjecture; aim / direction; bearings / registration mark (printing) / approximately; about; around
賢い,かしこい,wise; clever; smart
軒,のき,eaves / narrow aisle surrounding the core of a temple building
減らす,へらす,to abate; to decrease; to diminish; to shorten
減る,へる,to decrease (in size or number); to diminish; to abate
現れる,あらわれる,"to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise / to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)"
語,ご,language / word
好む,このむ,to like; to prefer
幸い,さいわい,happiness; blessedness; luck; fortune; felicity / luckily; fortunately
さらに,更に,furthermore; again; after all; more and more; moreover; even more
硬貨,こうか,coin / hard currency
行儀,ぎょうぎ,manners; behavior; behaviour
合図,あいず,sign; signal; cue
黒板,こくばん,blackboard
今に,いまに,before long; even now
鎖,くさり,chain; chains
作物,さくもつ,produce (e.g. agricultural); crops
伺う,うかがう,"to ask; to inquire; to hear; to be told / to implore (a god for an oracle); to seek direction (from your superior) / to visit / to speak to (a large crowd at a theatre, etc.)"
指す,さす,to point / to nominate; to select someone; to specify some person / to identify; to indicate; to point out / to play (a game of shogi); to move (a piece) / to extend one's arm straight ahead (in dance)
支度,したく,preparation; arrangements
至る,いたる,to arrive at (e.g. a decision); to reach (a stage); to attain / to lead to (a place); to get to / in the extreme case of / to come; to arrive; to result in
試し,ためし,trial; test
試す,ためす,to attempt; to test; to try out
飼う,かう,to keep (a pet or other animal); to have; to own; to raise; to rear; to feed
似合う,にあう,to suit; to match; to become; to be like
次第,しだい,depending on / as soon as; immediately (upon) / in accordance with / order; program; programme; precedence / circumstances; course of events; reason
辞める,やめる,"to resign; to retire; to quit; to leave (one's job, etc.)"
取り上げる,とりあげる,"to pick up / to adopt (e.g. a proposal); to accept; to take up (a topic, complaint, etc.); to listen to; to deal with; to feature / to take away; to confiscate; to deprive (someone) of; to revoke / to deliver (a baby) / to collect (taxes)"
手品,てじな,magic (illusion); conjuring; magic trick; conjuring trick; sleight of hand
従う,したがう,"to obey (an order, law, etc.); to abide by (a rule, custom, etc.); to follow; to observe; to conform to; to yield to / to follow (a person); to accompany; to go with / to go alongside (e.g. a river); to follow (e.g. a sign) / to serve (as); to engage in (work)"
祝う,いわう,to congratulate; to celebrate; to observe (a festival)
できるだけ,出来るだけ,as much as one can; as much as possible; if at all possible
述べる,のべる,to state; to express; to mention
書斎,しょさい,study; library; den; home office; reading room
助ける,たすける,to save; to rescue / to help; to assist / to aid; to contribute (financially) / to facilitate; to stimulate
上京,じょうきょう,proceeding to the capital (Tokyo)
上達,じょうたつ,"improvement (e.g. in skill, ability); advance; progress / communication of opinions of the general populace to those of high rank"
上等,じょうとう,superior; first-class; excellent; top quality / (that's) just fine!; bring it on!
譲る,ゆずる,to hand over; to transfer; to turn over; to assign; to convey; to bequeath / to give up (e.g. one's seat); to give way / to yield; to concede; to give ground; to surrender / to sell / to postpone; to put off; to defer
尻,しり,buttocks; behind; rump; bottom / undersurface; bottom / last place; end / consequence
伸びる,のびる,"to stretch; to extend; to lengthen; to grow (of hair, height, grass, etc.) / to straighten out; to be flattened; to become smooth / to spread (of paint, cream, etc.) / to stretch out (e.g. of a hand); to extend / to lose elasticity; to become slack; to become soggy (e.g. noodles) / to make progress; to develop; to expand; to increase; to improve / to be exhausted; to be groggy; to pass out; to collapse / to be prolonged (meeting, life span, etc.); to be extended (e.g. deadline); to lengthen (e.g. of the days) / to be postponed; to be delayed; to be put off"
信じる,しんじる,to believe; to believe in; to place trust in; to confide in; to have faith in
振る,ふる,to wave; to shake; to swing / to sprinkle; to throw (dice) / to cast (actor); to allocate (work) / to turn down (somebody); to reject; to jilt; to dump / to abandon; to give up; to ruin / to add kana indicating a reading of a word / to slightly change headings; to change directions / to extract by broiling; to prepare an infusion of; to decoct / to carry with great vigor (e.g. a portable shrine) / to bring up a topic; to lead to a topic / to replace; to substitute / to set up a joke for somebody else
申し込む,もうしこむ,to apply for; to make an application; to propose (marriage); to offer (mediation); to make an overture (of peace); to challenge; to lodge (objections); to request (an interview); to subscribe for; to book; to reserve
申し訳,もうしわけ,apology; excuse
真剣,しんけん,serious; earnest / real sword (as opposed to unsharpened or wooden practice weapon)
真似,まね,imitating; copying; mimicry / behavior; behaviour; action; conduct
真面目,まじめ,serious; honest; sober; grave; earnest; steady
親しい,したしい,close (e.g. friend); familiar; friendly; intimate / familiar (e.g. story); well-known (to one) / close (relatives); closely related
親戚,しんせき,relative; relation; kin
人ごみ,ひとごみ,crowd of people
ごみ,塵,rubbish; trash; garbage; refuse
酔う,よう,to get drunk; to become intoxicated / to feel sick (e.g. in a vehicle); to become nauseated / to be elated; to be exalted; to be spellbound; to be in raptures
ずいぶん,随分,very; extremely; surprisingly; considerably; awfully; terribly / terrible; horrid; contemptible; reprehensible / remarkable; extraordinary
数える,かぞえる,to count; to enumerate
まさに,正に,exactly; surely; certainly; just / right then; just then; at that moment / just (about to); on the verge (of doing or happening) / duly; naturally
正確,せいかく,accurate; correct; precise; exact
生じる,しょうじる,to produce; to yield; to cause / to result from; to arise; to be generated
積もる,つもる,to pile up; to accumulate / to estimate
責める,せめる,to condemn; to blame; to criticize; to criticise; to reproach; to accuse / to urge; to press; to pester / to torture; to torment; to persecute / to break in (a horse)
全然,ぜんぜん,not at all (with neg. verb) / wholly; entirely; completely
粗い,あらい,coarse; rough
粗末,そまつ,crude; rough; plain; humble; shabby
素敵,すてき,lovely; wonderful; nice; great; fantastic; superb; cool
組む,くむ,to cross (legs or arms); to link (arms) / to put together; to construct; to assemble; to produce (e.g. TV program) / to braid; to plait / to grapple; to wrestle / to unite; to join; to link up; to form an alliance / to set (e.g. type) / to issue (e.g. money order)
訴える,うったえる,"to raise; to bring to (someone's attention) / to appeal to (reason, emotions, etc.); to work on (one's emotions); to play on (one's sympathies) / to complain / to sue (a person); to take someone to court / to resort to (e.g. arms, violence)"
ねずみ,鼠,"mouse; rat / dark gray; dark grey; slate (color, colour)"
霜,しも,frost
増す,ます,to increase; to grow
すなわち,即ち,that is; namely; i.e.
束,たば,bundle; bunch; sheaf
袖,そで,"sleeve / wing (of a stage, desk, gate, etc.)"
尊敬,そんけい,respect; esteem; reverence; honour; honor
だめ,駄目,no good; not serving its purpose; useless; broken / hopeless; wasted; in vain; purposeless / cannot; must not; not allowed / neutral point (in go); intersection owned by neither player at the end of a game
大屋,おおや,landlord; landlady
達する,たっする,to reach; to get to; to arrive at
誰か,だれか,someone; somebody
知能,ちのう,intelligence; intellect; brains
地平線,ちへいせん,horizon (related to land)
遅刻,ちこく,lateness; late coming
眺める,ながめる,to look at; to gaze at; to watch; to stare at / to look out over; to get a view of; to admire (e.g. the scenery) / to look on (from the sidelines); to stand by and watch; to observe
頂戴,ちょうだい,receiving; reception; getting; being given / eating; drinking; having / please; please do for me
沈む,しずむ,to sink; to go under; to submerge / to go down (e.g. sun); to set; to descend / to feel depressed
通じる,つうじる,"to be open (to traffic); to lead to; to communicate (with) / to flow (liquid, current); to pass; to get through to / to be understood; to be comprehended / to be honored; to be good / to be well versed in; to be well-informed / to communicate clandestinely; to keep in touch (e.g. with the enemy) / to form a liaison; to be intimate / to spread widely; to disseminate"
通す,とおす,"to stick through; to force through / to spread throughout; to thoroughly diffuse / to make a path between two points / to proceed in a logical manner / to let pass; to allow through / to lead (someone) into (a house, room, etc.); to show in / to go through (a middleman) / to (look, listen) through (a window, wall, etc.) / to pass (a law, applicant, etc.) / to force to accept; to force agreement / to continue (in a state); to persist in / to do to the entirety of; to cover all of; to span the whole ... / to do from beginning to end without a break / to convey (one's ideas, etc.) to the other party / to do to the end; to carry through; to complete"
通り過ぎる,とおりすぎる,to go past; to pass; to pass by
停留所,ていりゅうじょ,"stop (bus, tram, etc.); station; stopping place"
ほど,程,degree; extent; bounds; limit / upper limit
適する,てきする,to fit; to suit
